date,sku,on_hand_units,on_order_units,lead_time_days,reorder_point_units,inventory_value
2021-01-03,SKU0001,0,1,26,10,0.0
2021-01-03,SKU0002,0,3,24,10,0.0
2021-01-03,SKU0003,10,5,19,10,8710.2
2021-01-03,SKU0004,2,11,28,10,5821.22
2021-01-03,SKU0005,7,0,8,10,16508.66
2021-01-03,SKU0006,5,0,28,10,10894.9
2021-01-03,SKU0007,0,0,27,10,0.0
2021-01-03,SKU0008,4,0,18,10,3558.0
2021-01-03,SKU0009,0,2,24,10,0.0
2021-01-03,SKU0010,0,1,18,10,0.0
2021-01-03,SKU0011,1,3,11,10,1421.75
2021-01-03,SKU0012,0,0,25,10,0.0
2021-01-03,SKU0013,10,0,11,10,9872.7
2021-01-03,SKU0014,0,3,13,10,0.0
2021-01-03,SKU0015,8,3,18,10,4901.12
2021-01-03,SKU0016,1,0,26,10,2584.18
2021-01-03,SKU0017,12,0,14,10,27596.52
2021-01-03,SKU0018,0,0,17,10,0.0
2021-01-03,SKU0019,0,0,6,10,0.0
2021-01-03,SKU0020,3,0,8,10,5757.6
2021-01-03,SKU0021,0,3,6,10,0.0
2021-01-03,SKU0022,7,0,6,10,13891.92
2021-01-03,SKU0023,12,0,27,10,4138.68
2021-01-03,SKU0024,9,0,26,10,11752.56
2021-01-03,SKU0025,6,0,26,10,1324.08
2021-01-03,SKU0026,0,0,6,10,0.0
2021-01-03,SKU0027,10,5,7,10,10566.0
2021-01-03,SKU0028,9,0,12,10,4672.08
2021-01-03,SKU0029,3,6,19,10,1199.61
2021-01-03,SKU0030,0,0,13,10,0.0
2021-01-03,SKU0031,0,0,17,10,0.0
2021-01-03,SKU0032,0,0,9,10,0.0
2021-01-03,SKU0033,10,6,24,10,17850.8
2021-01-03,SKU0034,0,0,13,10,0.0
2021-01-03,SKU0035,0,0,6,10,0.0
2021-01-03,SKU0036,1,0,24,10,166.13
2021-01-03,SKU0037,7,8,28,10,20158.74
2021-01-03,SKU0038,14,0,5,10,20981.52
2021-01-03,SKU0039,8,0,16,10,18959.44
2021-01-03,SKU0040,0,0,26,10,0.0
2021-01-03,SKU0041,6,0,23,10,9067.86
2021-01-03,SKU0042,0,5,27,10,0.0
2021-01-03,SKU0043,11,0,15,10,31016.7
2021-01-03,SKU0044,0,0,14,10,0.0
2021-01-03,SKU0045,0,2,23,10,0.0
2021-01-03,SKU0046,0,0,8,10,0.0
2021-01-03,SKU0047,0,1,11,10,0.0
2021-01-03,SKU0048,0,3,20,10,0.0
2021-01-03,SKU0049,18,1,22,10,24711.12
2021-01-03,SKU0050,0,4,8,10,0.0
2021-01-03,SKU0051,0,0,18,10,0.0
2021-01-03,SKU0052,0,0,14,10,0.0
2021-01-03,SKU0053,0,4,18,10,0.0
2021-01-03,SKU0054,0,1,29,10,0.0
2021-01-03,SKU0055,0,0,6,10,0.0
2021-01-03,SKU0056,0,0,30,10,0.0
2021-01-03,SKU0057,0,5,16,10,0.0
2021-01-03,SKU0058,0,2,25,10,0.0
