date,sku,units_sold,revenue,unit_price,promotion_flag
2021-01-01,SKU0001,0,0.0,4483.83,0
2021-01-02,SKU0001,0,0.0,4483.83,0
2021-01-03,SKU0001,0,0.0,4483.83,0
2021-01-04,SKU0001,0,0.0,4483.83,0
2021-01-05,SKU0001,0,0.0,4483.83,0
2021-01-06,SKU0001,0,0.0,4483.83,0
2021-01-07,SKU0001,0,0.0,4483.83,0
2021-01-08,SKU0001,0,0.0,4483.83,0
2021-01-09,SKU0001,0,0.0,4483.83,0
2021-01-10,SKU0001,0,0.0,4483.83,0
2021-01-11,SKU0001,0,0.0,4483.83,0
2021-01-12,SKU0001,0,0.0,4483.83,0
2021-01-13,SKU0001,0,0.0,4483.83,0
2021-01-14,SKU0001,0,0.0,4483.83,0
2021-01-15,SKU0001,0,0.0,4483.83,0
2021-01-16,SKU0001,0,0.0,4483.83,0
2021-01-17,SKU0001,0,0.0,4483.83,0
2021-01-18,SKU0001,0,0.0,4483.83,0
2021-01-19,SKU0001,0,0.0,4483.83,0
2021-01-20,SKU0001,0,0.0,4483.83,0
2021-01-21,SKU0001,0,0.0,4483.83,0
2021-01-22,SKU0001,0,0.0,4483.83,0
2021-01-23,SKU0001,0,0.0,4483.83,0
2021-01-24,SKU0001,0,0.0,4483.83,0
2021-01-25,SKU0001,0,0.0,4483.83,0
2021-01-26,SKU0001,0,0.0,4483.83,0
2021-01-27,SKU0001,0,0.0,4483.83,0
2021-01-28,SKU0001,0,0.0,4483.83,0
2021-01-29,SKU0001,0,0.0,4483.83,0
2021-01-30,SKU0001,0,0.0,4483.83,0
2021-01-31,SKU0001,0,0.0,4483.83,0
2021-02-01,SKU0001,0,0.0,4483.83,0
2021-02-02,SKU0001,0,0.0,4483.83,0
2021-02-03,SKU0001,0,0.0,4483.83,0
2021-02-04,SKU0001,0,0.0,4483.83,0
2021-02-05,SKU0001,0,0.0,4483.83,0
2021-02-06,SKU0001,0,0.0,4483.83,0
2021-02-07,SKU0001,0,0.0,4483.83,0
2021-02-08,SKU0001,0,0.0,4483.83,0
2021-02-09,SKU0001,0,0.0,4483.83,0
2021-02-10,SKU0001,0,0.0,4483.83,0
2021-02-11,SKU0001,0,0.0,4483.83,0
2021-02-12,SKU0001,0,0.0,4483.83,0
2021-02-13,SKU0001,0,0.0,4483.83,0
2021-02-14,SKU0001,0,0.0,4483.83,0
2021-02-15,SKU0001,0,0.0,4483.83,0
2021-02-16,SKU0001,0,0.0,4483.83,0
2021-02-17,SKU0001,0,0.0,4483.83,0
2021-02-18,SKU0001,0,0.0,4483.83,0
2021-02-19,SKU0001,0,0.0,4483.83,0
2021-02-20,SKU0001,0,0.0,4483.83,0
2021-02-21,SKU0001,0,0.0,4483.83,0
2021-02-22,SKU0001,0,0.0,4483.83,0
2021-02-23,SKU0001,0,0.0,4483.83,0
2021-02-24,SKU0001,0,0.0,4483.83,0
2021-02-25,SKU0001,0,0.0,4483.83,0
2021-02-26,SKU0001,0,0.0,4483.83,0
2021-02-27,SKU0001,0,0.0,4483.83,0
2021-02-28,SKU0001,0,0.0,4483.83,0
2021-03-01,SKU0001,0,0.0,4483.83,0
2021-03-02,SKU0001,0,0.0,4483.83,0
2021-03-03,SKU0001,0,0.0,4483.83,0
2021-03-04,SKU0001,0,0.0,4483.83,0
2021-03-05,SKU0001,0,0.0,4483.83,0
2021-03-06,SKU0001,0,0.0,4483.83,0
2021-03-07,SKU0001,0,0.0,4483.83,0
2021-03-08,SKU0001,0,0.0,4483.83,0
2021-03-09,SKU0001,0,0.0,4483.83,0
2021-03-10,SKU0001,0,0.0,4125.12,1
2021-03-11,SKU0001,0,0.0,4125.12,1
2021-03-12,SKU0001,0,0.0,4125.12,1
2021-03-13,SKU0001,0,0.0,4125.12,1
2021-03-14,SKU0001,0,0.0,4125.12,1
2021-03-15,SKU0001,0,0.0,4125.12,1
2021-03-16,SKU0001,0,0.0,4125.12,1
2021-03-17,SKU0001,0,0.0,4125.12,1
2021-03-18,SKU0001,0,0.0,4125.12,1
