sku,date,actual_demand,forecast_demand
SKU0001,2025-07-13,203,225.7636389464693
SKU0002,2025-07-13,436,434.9604085718436
SKU0003,2025-07-13,179,126.24652166228617
SKU0004,2025-07-13,96,87.12643486321832
SKU0005,2025-07-13,27,41.49338108928497
SKU0006,2025-07-13,182,175.2220713066987
SKU0007,2025-07-13,153,154.78574224813153
SKU0008,2025-07-13,170,176.1593726010958
SKU0009,2025-07-13,150,156.69489374555047
SKU0010,2025-07-13,206,205.26176075684737
SKU0011,2025-07-13,51,48.979732206072065
SKU0012,2025-07-13,20,26.636518465429575
SKU0013,2025-07-13,166,200.81759476143202
SKU0014,2025-07-13,20,22.46836542596377
SKU0015,2025-07-13,181,168.96670698047754
SKU0016,2025-07-13,132,135.40480253003497
SKU0017,2025-07-13,86,71.32168289204859
SKU0018,2025-07-13,404,390.2738023717591
SKU0019,2025-07-13,189,210.0371715915049
SKU0020,2025-07-13,114,125.9760840925074
SKU0021,2025-07-13,156,161.6431599896609
SKU0022,2025-07-13,343,351.4049623324696
SKU0023,2025-07-13,87,91.11358464863625
SKU0024,2025-07-13,139,154.55421286738294
SKU0025,2025-07-13,47,54.63203810322957
SKU0026,2025-07-13,62,48.41346797540275
SKU0027,2025-07-13,144,126.90566202356047
SKU0028,2025-07-13,140,134.67772853559816
SKU0029,2025-07-13,63,63.811846690543334
SKU0030,2025-07-13,72,64.9479459708383
SKU0031,2025-07-13,479,477.20455914095663
SKU0032,2025-07-13,111,85.72291338619866
SKU0033,2025-07-13,271,256.6181282740034
SKU0034,2025-07-13,0,0.8297256027871829
SKU0035,2025-07-13,317,326.3071995893553
SKU0036,2025-07-13,1,0.11254371860588364
SKU0037,2025-07-13,88,104.16627387160595
SKU0038,2025-07-13,56,49.16209366780899
SKU0039,2025-07-13,493,515.2139873417949
SKU0040,2025-07-13,153,171.0717635909855
SKU0041,2025-07-13,13,20.447480800818965
SKU0042,2025-07-13,116,112.9431781269598
SKU0043,2025-07-13,0,0.3262854692690781
SKU0044,2025-07-13,69,57.39736870486029
SKU0045,2025-07-13,73,79.68980922066439
SKU0046,2025-07-13,43,50.748690643553026
SKU0047,2025-07-13,102,107.62210260204533
SKU0048,2025-07-13,118,106.34456647473746
SKU0049,2025-07-13,0,1.1640733315155074
SKU0050,2025-07-13,380,378.11476781439075
SKU0051,2025-07-13,17,13.201276567287785
SKU0052,2025-07-13,47,55.056165276034115
SKU0053,2025-07-13,100,91.81664258999784
SKU0054,2025-07-13,0,0.3671537969939323
SKU0055,2025-07-13,176,219.12609934657783
SKU0056,2025-07-13,75,83.51327763051412
SKU0057,2025-07-13,206,191.8078118850612
SKU0058,2025-07-13,172,197.62395631605395
SKU0059,2025-07-13,0,0.15458672877508892
SKU0060,2025-07-13,315,333.9786391577961
SKU0061,2025-07-13,10,18.262352333639736
SKU0062,2025-07-13,151,143.86294981205862
SKU0063,2025-07-13,1,0.42699846516033907
SKU0064,2025-07-13,88,79.86376389177325
SKU0065,2025-07-13,111,149.6802482411413
SKU0066,2025-07-13,194,182.34666654974592
SKU0067,2025-07-13,78,77.39103176061148
SKU0068,2025-07-13,13,9.700206122853642
SKU0069,2025-07-13,55,50.998856626148736
SKU0070,2025-07-13,59,61.775378269763635
SKU0071,2025-07-13,314,312.62299147164936
SKU0072,2025-07-13,79,86.78639314197574
SKU0073,2025-07-13,378,364.75062152090374
SKU0074,2025-07-13,194,176.73115071403313
SKU0075,2025-07-13,0,0.4392587039660382
SKU0076,2025-07-13,38,40.99890969220948
SKU0077,2025-07-13,62,64.95011356495466
SKU0078,2025-07-13,141,122.21780432423729
SKU0079,2025-07-13,133,151.70409314659335
SKU0080,2025-07-13,0,0.5008566017316018
SKU0081,2025-07-13,51,58.5291720259946
SKU0082,2025-07-13,115,111.46047089755294
SKU0083,2025-07-13,179,185.90989434575738
SKU0084,2025-07-13,100,101.69391211869431
SKU0085,2025-07-13,0,0.5008566017316018
SKU0086,2025-07-13,14,14.425102225214417
SKU0087,2025-07-13,58,55.785271285823555
SKU0088,2025-07-13,36,42.87841537661329
SKU0089,2025-07-13,212,215.6198396841481
SKU0090,2025-07-13,158,165.87905679683513
SKU0091,2025-07-13,0,0.5102330530403175
SKU0092,2025-07-13,145,163.471242716409
SKU0093,2025-07-13,229,211.02559933689182
SKU0094,2025-07-13,236,224.27569702360728
SKU0095,2025-07-13,163,165.47962226426222
SKU0096,2025-07-13,96,97.34836104500657
SKU0097,2025-07-13,373,355.3709223940846
SKU0098,2025-07-13,59,64.8100655691822
SKU0099,2025-07-13,517,516.8014132653122
SKU0100,2025-07-13,102,127.4085814382548
SKU0101,2025-07-13,231,242.40505935841304
SKU0102,2025-07-13,40,44.395371234138445
SKU0103,2025-07-13,0,0.28765069266268883
SKU0104,2025-07-13,51,44.550505790641836
SKU0105,2025-07-13,233,253.70068749139264
SKU0106,2025-07-13,1,0.45919189565943763
SKU0107,2025-07-13,0,0.458299864769875
SKU0108,2025-07-13,37,50.41997933375417
SKU0109,2025-07-13,112,107.9629656520535
SKU0110,2025-07-13,25,33.52823035217668
SKU0111,2025-07-13,209,225.97384071358184
SKU0112,2025-07-13,231,222.369742715833
SKU0113,2025-07-13,124,133.85517820426807
SKU0114,2025-07-13,160,165.20395038864496
SKU0115,2025-07-13,316,302.3005748433661
SKU0116,2025-07-13,51,49.07417139215957
SKU0117,2025-07-13,125,121.84071015859718
SKU0118,2025-07-13,104,89.47867922581896
SKU0119,2025-07-13,209,195.56038867048235
SKU0120,2025-07-13,284,291.6433859331017
SKU0121,2025-07-13,229,232.90363683628078
SKU0122,2025-07-13,93,93.63553503424173
SKU0123,2025-07-13,372,417.73340499164556
SKU0124,2025-07-13,185,190.8552967476047
SKU0125,2025-07-13,179,175.40069276821825
SKU0126,2025-07-13,147,176.17800780293427
SKU0127,2025-07-13,174,178.56519225203508
SKU0128,2025-07-13,110,116.17649803559755
SKU0129,2025-07-13,58,57.85061337315953
SKU0130,2025-07-13,168,174.74513285616067
SKU0131,2025-07-13,65,71.65405192413382
SKU0132,2025-07-13,165,170.0223502886677
SKU0133,2025-07-13,147,149.05648793203906
SKU0134,2025-07-13,98,101.39563747423337
SKU0135,2025-07-13,69,73.03847418377923
SKU0136,2025-07-13,128,150.780606882642
SKU0137,2025-07-13,79,78.97206382768665
SKU0138,2025-07-13,117,115.38836325181921
SKU0139,2025-07-13,256,287.1751195429111
SKU0140,2025-07-13,306,326.9595211605458
SKU0141,2025-07-13,84,89.65433697435401
SKU0142,2025-07-13,106,102.67228340844004
SKU0143,2025-07-13,216,195.7274766800917
SKU0144,2025-07-13,329,328.65703388563657
SKU0145,2025-07-13,81,86.23835526785409
SKU0146,2025-07-13,59,78.10262906133482
SKU0147,2025-07-13,121,125.84354630524122
SKU0148,2025-07-13,285,270.77318301346736
SKU0149,2025-07-13,200,216.31370949697052
SKU0150,2025-07-13,128,127.19386160521323
SKU0151,2025-07-13,477,450.4639918466809
SKU0152,2025-07-13,1,0.3424445010002179
SKU0153,2025-07-13,202,212.7838173586827
SKU0154,2025-07-13,30,40.1902717914309
SKU0155,2025-07-13,156,153.4020596054793
SKU0156,2025-07-13,162,180.62377667244814
SKU0157,2025-07-13,32,23.508446903600994
SKU0158,2025-07-13,119,107.92709923619215
SKU0159,2025-07-13,171,190.33235620199363
SKU0160,2025-07-13,100,87.97760042746735
SKU0161,2025-07-13,247,244.2539158862787
SKU0162,2025-07-13,117,109.7854968961165
SKU0163,2025-07-13,196,189.7201677691277
SKU0164,2025-07-13,0,0.12680362395367115
SKU0165,2025-07-13,193,163.5002771060941
SKU0166,2025-07-13,37,30.057518531974342
SKU0167,2025-07-13,213,211.93001217901315
SKU0168,2025-07-13,409,421.2381218384027
SKU0169,2025-07-13,460,474.69627894289437
SKU0170,2025-07-13,86,86.49823005260916
SKU0171,2025-07-13,170,149.33041662709098
SKU0172,2025-07-13,117,119.94593293220355
SKU0173,2025-07-13,269,301.1064552493359
SKU0174,2025-07-13,21,14.161805844064029
SKU0175,2025-07-13,304,335.08355879483815
SKU0176,2025-07-13,27,25.015195835138375
SKU0177,2025-07-13,65,57.20077810658141
SKU0178,2025-07-13,251,264.56008900042883
SKU0179,2025-07-13,0,0.5008566017316018
SKU0180,2025-07-13,158,167.65416880809119
SKU0181,2025-07-13,495,501.64791074563857
SKU0182,2025-07-13,546,528.5918616380895
SKU0183,2025-07-13,213,191.76384585099512
SKU0184,2025-07-13,12,21.066935623974317
SKU0185,2025-07-13,116,129.06945138197577
SKU0186,2025-07-13,63,87.88640577209145
SKU0187,2025-07-13,132,152.89642195086066
SKU0188,2025-07-13,1,0.45340817038056885
SKU0189,2025-07-13,82,67.00854050672258
SKU0190,2025-07-13,212,215.41670384059682
SKU0191,2025-07-13,1,0.4067225651441333
SKU0192,2025-07-13,22,28.348702455330987
SKU0193,2025-07-13,85,93.6201520656759
SKU0194,2025-07-13,0,0.43262987217749577
SKU0195,2025-07-13,15,25.601252650453215
SKU0196,2025-07-13,40,32.27058039110528
SKU0197,2025-07-13,110,99.34636614705504
SKU0198,2025-07-13,25,22.923520584891627
SKU0199,2025-07-13,192,181.63706985541452
SKU0200,2025-07-13,163,160.5136255670731
SKU0001,2025-07-20,221,212.20205414656863
SKU0002,2025-07-20,437,434.97354408998393
SKU0003,2025-07-20,139,126.9395952962302
SKU0004,2025-07-20,94,86.55906144890224
SKU0005,2025-07-20,39,33.084237945029834
SKU0006,2025-07-20,178,177.79272563821814
SKU0007,2025-07-20,147,150.8594795340491
SKU0008,2025-07-20,165,167.61443900794416
SKU0009,2025-07-20,154,144.0757160918568
SKU0010,2025-07-20,192,205.365057932316
SKU0011,2025-07-20,36,45.56041318601085
SKU0012,2025-07-20,21,24.299653154763458
SKU0013,2025-07-20,187,187.71661879158134
SKU0014,2025-07-20,22,21.006231735897604
SKU0015,2025-07-20,177,166.99829597011458
SKU0016,2025-07-20,130,141.4998732843176
SKU0017,2025-07-20,81,71.439576448632
SKU0018,2025-07-20,421,393.2866242304003
SKU0019,2025-07-20,210,194.08933907442886
SKU0020,2025-07-20,118,120.06935565467464
SKU0021,2025-07-20,131,152.26453280269683
SKU0022,2025-07-20,308,344.2631507538747
SKU0023,2025-07-20,79,86.05742927345506
SKU0024,2025-07-20,146,145.3810290773937
SKU0025,2025-07-20,60,52.52804185982258
SKU0026,2025-07-20,52,54.019737979928486
SKU0027,2025-07-20,107,127.7481523363102
SKU0028,2025-07-20,135,137.1158526424331
SKU0029,2025-07-20,58,74.05012313090847
SKU0030,2025-07-20,65,65.0441512913238
SKU0031,2025-07-20,469,466.400170743686
SKU0032,2025-07-20,100,93.05572286806603
SKU0033,2025-07-20,245,251.11995726691043
SKU0034,2025-07-20,0,0.8382019220014686
SKU0035,2025-07-20,299,317.4289989569908
SKU0036,2025-07-20,1,0.2066645125104414
SKU0037,2025-07-20,109,106.22427793010775
SKU0038,2025-07-20,34,50.08636172744451
SKU0039,2025-07-20,483,482.427707588968
SKU0040,2025-07-20,169,159.90322342461687
SKU0041,2025-07-20,7,19.795140905982485
SKU0042,2025-07-20,109,115.77958394379553
SKU0043,2025-07-20,1,0.12304426153085644
SKU0044,2025-07-20,47,57.28825726156047
SKU0045,2025-07-20,69,70.89431959865286
SKU0046,2025-07-20,41,47.68459102555312
SKU0047,2025-07-20,104,108.60726464585552
SKU0048,2025-07-20,107,106.2345754962981
SKU0049,2025-07-20,0,0.8073293021108324
SKU0050,2025-07-20,346,366.55970429133913
SKU0051,2025-07-20,19,14.452835994290401
SKU0052,2025-07-20,44,46.779165595554005
SKU0053,2025-07-20,96,88.59870362746824
SKU0054,2025-07-20,0,0.3671537969939323
SKU0055,2025-07-20,200,197.70690036151217
SKU0056,2025-07-20,79,76.14225511110189
SKU0057,2025-07-20,180,189.56111925316077
SKU0058,2025-07-20,163,184.02036845983127
SKU0059,2025-07-20,0,0.11254371860588364
SKU0060,2025-07-20,316,316.6819569285739
SKU0061,2025-07-20,17,16.832447814734746
SKU0062,2025-07-20,107,141.82367118378204
SKU0063,2025-07-20,0,0.42580761975045034
SKU0064,2025-07-20,78,79.56473250507926
SKU0065,2025-07-20,120,124.3652883020835
SKU0066,2025-07-20,162,173.33495652039784
SKU0067,2025-07-20,81,76.26925537569473
SKU0068,2025-07-20,13,10.76559767314345
SKU0069,2025-07-20,55,51.47335053460016
SKU0070,2025-07-20,56,59.90294380291907
SKU0071,2025-07-20,300,307.95239493444296
SKU0072,2025-07-20,78,77.30314277259728
SKU0073,2025-07-20,361,359.6422991005679
SKU0074,2025-07-20,167,176.0409161630297
SKU0075,2025-07-20,0,0.4182165904477672
SKU0076,2025-07-20,35,37.249135213915444
SKU0077,2025-07-20,72,59.238764042548645
SKU0078,2025-07-20,109,130.12969708290314
SKU0079,2025-07-20,133,134.68493731395063
SKU0080,2025-07-20,0,0.5008566017316018
SKU0081,2025-07-20,42,49.7529440242513
SKU0082,2025-07-20,99,109.55805418569891
SKU0083,2025-07-20,195,175.12894373012776
SKU0084,2025-07-20,94,101.25543777775476
SKU0085,2025-07-20,0,0.5008566017316018
SKU0086,2025-07-20,22,15.087366720132803
SKU0087,2025-07-20,49,57.552105001558985
SKU0088,2025-07-20,42,38.43739168144665
SKU0089,2025-07-20,204,212.74256990606983
SKU0090,2025-07-20,146,165.53597201867993
SKU0091,2025-07-20,1,0.45193697123901155
SKU0092,2025-07-20,145,148.9561753933858
SKU0093,2025-07-20,189,210.84344706142846
SKU0094,2025-07-20,189,205.42093956162051
SKU0095,2025-07-20,170,170.02377753547304
SKU0096,2025-07-20,102,93.44121603173966
SKU0097,2025-07-20,364,376.36313334919157
SKU0098,2025-07-20,52,64.81432295795621
SKU0099,2025-07-20,487,519.87904765093
SKU0100,2025-07-20,110,110.67420172931018
SKU0101,2025-07-20,237,236.70418564226685
SKU0102,2025-07-20,28,43.506146667283765
SKU0103,2025-07-20,0,0.16216609236245297
SKU0104,2025-07-20,41,45.02948227994031
SKU0105,2025-07-20,258,242.22172784879953
SKU0106,2025-07-20,0,0.41916008010800937
SKU0107,2025-07-20,1,0.3848695110756358
SKU0108,2025-07-20,47,44.03235546618941
SKU0109,2025-07-20,100,108.69557448221414
SKU0110,2025-07-20,28,32.27550388608348
SKU0111,2025-07-20,214,215.03153491934404
SKU0112,2025-07-20,214,226.50217322555676
SKU0113,2025-07-20,137,139.34625760649726
SKU0114,2025-07-20,150,170.0206091766249
SKU0115,2025-07-20,295,305.59817591117167
SKU0116,2025-07-20,46,48.046056946132595
SKU0117,2025-07-20,119,124.8471803720869
SKU0118,2025-07-20,92,90.86608305292359
SKU0119,2025-07-20,186,191.14511892030933
SKU0120,2025-07-20,268,281.05867494356494
SKU0121,2025-07-20,233,216.8419373405033
SKU0122,2025-07-20,86,89.6686416821104
SKU0123,2025-07-20,392,377.48760409494406
SKU0124,2025-07-20,213,184.62008071213043
SKU0125,2025-07-20,173,154.5738391195828
SKU0126,2025-07-20,165,156.6422530061717
SKU0127,2025-07-20,188,167.57874345767507
SKU0128,2025-07-20,116,117.74263077695622
SKU0129,2025-07-20,45,58.80262716401609
SKU0130,2025-07-20,158,166.2760857614425
SKU0131,2025-07-20,65,64.42281867099527
SKU0132,2025-07-20,153,162.106274819815
SKU0133,2025-07-20,140,145.81983798909215
SKU0134,2025-07-20,96,100.59369547703167
SKU0135,2025-07-20,68,62.88940392683931
SKU0136,2025-07-20,144,148.02703477489936
SKU0137,2025-07-20,66,78.6452004502364
SKU0138,2025-07-20,108,114.4891433676152
SKU0139,2025-07-20,275,258.61004917945667
SKU0140,2025-07-20,296,300.40003463524135
SKU0141,2025-07-20,95,89.38638067651021
SKU0142,2025-07-20,110,117.53207054523256
SKU0143,2025-07-20,182,194.77297300231473
SKU0144,2025-07-20,277,313.6137295830368
SKU0145,2025-07-20,85,80.79391701672714
SKU0146,2025-07-20,73,75.72723996363159
SKU0147,2025-07-20,119,121.75583431236886
SKU0148,2025-07-20,274,275.8906824008602
SKU0149,2025-07-20,218,195.37886201733426
SKU0150,2025-07-20,136,122.63150392307858
SKU0151,2025-07-20,402,443.621157300255
SKU0152,2025-07-20,0,0.3615096961853155
SKU0153,2025-07-20,195,190.0501415572604
SKU0154,2025-07-20,43,36.188450105152626
SKU0155,2025-07-20,147,158.04613785748742
SKU0156,2025-07-20,169,162.60614021693735
SKU0157,2025-07-20,22,23.14209884176703
SKU0158,2025-07-20,83,107.09880713175129
SKU0159,2025-07-20,167,168.68697767907958
SKU0160,2025-07-20,79,91.56998489814703
SKU0161,2025-07-20,220,230.59069964059142
SKU0162,2025-07-20,94,108.90017167239665
SKU0163,2025-07-20,186,188.674514022339
SKU0164,2025-07-20,0,0.12680362395367115
SKU0165,2025-07-20,164,185.26079984497636
SKU0166,2025-07-20,32,34.13849233000715
SKU0167,2025-07-20,199,197.78512056479087
SKU0168,2025-07-20,387,390.13605946995233
SKU0169,2025-07-20,408,444.3172130078806
SKU0170,2025-07-20,78,82.41712746839912
SKU0171,2025-07-20,123,149.43276449685845
SKU0172,2025-07-20,92,115.01573361856605
SKU0173,2025-07-20,267,265.383935690683
SKU0174,2025-07-20,22,15.578333220696095
SKU0175,2025-07-20,324,346.7440894064679
SKU0176,2025-07-20,21,25.85915007962677
SKU0177,2025-07-20,55,57.069094383764835
SKU0178,2025-07-20,268,250.41346236065377
SKU0179,2025-07-20,0,0.5008566017316018
SKU0180,2025-07-20,144,153.62406179710882
SKU0181,2025-07-20,438,485.01034271054164
SKU0182,2025-07-20,553,534.0015937905172
SKU0183,2025-07-20,199,192.16484413959992
SKU0184,2025-07-20,16,15.4871549401258
SKU0185,2025-07-20,127,123.37741922340346
SKU0186,2025-07-20,70,83.78207487144013
SKU0187,2025-07-20,138,166.34280230413512
SKU0188,2025-07-20,0,0.43532123673310347
SKU0189,2025-07-20,76,65.57293030835115
SKU0190,2025-07-20,186,190.08902997524459
SKU0191,2025-07-20,0,0.41995345362497055
SKU0192,2025-07-20,28,26.130128696106166
SKU0193,2025-07-20,105,88.66350227561774
SKU0194,2025-07-20,1,0.3206178625515588
SKU0195,2025-07-20,16,24.27494869196672
SKU0196,2025-07-20,28,33.36546654537003
SKU0197,2025-07-20,102,98.2196391116644
SKU0198,2025-07-20,21,23.589345807747208
SKU0199,2025-07-20,174,182.83045550452294
SKU0200,2025-07-20,154,159.08353419451782
SKU0001,2025-07-27,177,208.098516278927
SKU0002,2025-07-27,390,430.2808828413101
SKU0003,2025-07-27,119,123.97474636139096
SKU0004,2025-07-27,85,94.49701095559274
SKU0005,2025-07-27,33,36.91621312576931
SKU0006,2025-07-27,170,170.81353354485654
SKU0007,2025-07-27,159,144.95120035050846
SKU0008,2025-07-27,145,161.07574124317472
SKU0009,2025-07-27,131,146.95543510709376
SKU0010,2025-07-27,190,195.43946187119138
SKU0011,2025-07-27,44,44.326355622481394
SKU0012,2025-07-27,30,22.675529925758852
SKU0013,2025-07-27,193,191.63940987241406
SKU0014,2025-07-27,19,21.2909351077936
SKU0015,2025-07-27,157,161.14747580208174
SKU0016,2025-07-27,131,127.48213606275667
SKU0017,2025-07-27,79,69.70771654208292
SKU0018,2025-07-27,393,381.44263650849393
SKU0019,2025-07-27,177,195.33736477261266
SKU0020,2025-07-27,133,114.41206623295116
SKU0021,2025-07-27,139,146.01688512802625
SKU0022,2025-07-27,319,320.3915460642903
SKU0023,2025-07-27,87,80.82946158281996
SKU0024,2025-07-27,139,146.90580866803563
SKU0025,2025-07-27,44,58.72458879570727
SKU0026,2025-07-27,45,49.48507484883826
SKU0027,2025-07-27,143,113.95005750058225
SKU0028,2025-07-27,138,132.96877154915288
SKU0029,2025-07-27,49,61.123404231465194
SKU0030,2025-07-27,64,64.75052908289183
SKU0031,2025-07-27,410,462.4235329635973
SKU0032,2025-07-27,83,87.51234807653732
SKU0033,2025-07-27,216,233.10917421857965
