sku,forecast_demand,actual_demand,on_hand_units,stock_gap_units,stockout_risk,overstock_risk,recommended_action,priority_score
SKU0182,14047.470723251656,13772,1297,12750.470723251656,True,False,REORDER,12750.470723251656
SKU0099,13241.17399936676,12783,1206,12035.17399936676,True,False,REORDER,12035.17399936676
SKU0039,12971.686836195848,12703,1226,11745.686836195848,True,False,REORDER,11745.686836195848
SKU0181,12819.873730548235,12764,1240,11579.873730548235,True,False,REORDER,11579.873730548235
SKU0031,12296.731478164575,11938,1132,11164.731478164575,True,False,REORDER,11164.731478164575
SKU0169,11804.456274730135,11631,1092,10712.456274730135,True,False,REORDER,10712.456274730135
SKU0002,11560.513732745858,11392,1137,10423.513732745858,True,False,REORDER,10423.513732745858
SKU0151,11510.138238218682,11341,1090,10420.138238218682,True,False,REORDER,10420.138238218682
SKU0018,10757.575945754841,10555,1019,9738.575945754841,True,False,REORDER,9738.575945754841
SKU0168,10594.249007561984,10244,958,9636.249007561984,True,False,REORDER,9636.249007561984
SKU0123,10533.095432598398,10293,994,9539.095432598398,True,False,REORDER,9539.095432598398
SKU0050,9886.638863238692,9467,894,8992.638863238692,True,False,REORDER,8992.638863238692
SKU0073,9618.827546233017,9382,920,8698.827546233017,True,False,REORDER,8698.827546233017
SKU0097,9532.288959197456,9054,866,8666.288959197456,True,False,REORDER,8666.288959197456
SKU0022,9142.612085655885,8779,844,8298.612085655885,True,False,REORDER,8298.612085655885
SKU0175,8789.178722696492,8403,813,7976.178722696492,True,False,REORDER,7976.178722696492
SKU0060,8513.53138846161,8052,797,7716.53138846161,True,False,REORDER,7716.53138846161
SKU0035,8403.297533982946,8191,808,7595.297533982946,True,False,REORDER,7595.297533982946
SKU0140,8317.883415867595,7797,728,7589.8834158675945,True,False,REORDER,7589.8834158675945
SKU0144,8272.196783157298,8092,781,7491.196783157298,True,False,REORDER,7491.196783157298
SKU0071,8124.923196805469,7693,749,7375.923196805469,True,False,REORDER,7375.923196805469
SKU0115,7814.792934778636,7461,702,7112.792934778636,True,False,REORDER,7112.792934778636
SKU0120,7310.383321111973,7063,643,6667.383321111973,True,False,REORDER,6667.383321111973
SKU0139,7248.796045969688,7072,650,6598.796045969688,True,False,REORDER,6598.796045969688
SKU0173,7224.78254139236,6902,656,6568.78254139236,True,False,REORDER,6568.78254139236
SKU0148,6917.819320062798,6841,663,6254.819320062798,True,False,REORDER,6254.819320062798
SKU0178,6618.787864509872,6467,630,5988.787864509872,True,False,REORDER,5988.787864509872
SKU0105,6586.0765081833015,6263,598,5988.0765081833015,True,False,REORDER,5988.0765081833015
SKU0033,6313.284040016916,6173,595,5718.284040016916,True,False,REORDER,5718.284040016916
SKU0101,6173.05251678951,5932,560,5613.05251678951,True,False,REORDER,5613.05251678951
SKU0161,6163.124024179249,5840,578,5585.124024179249,True,False,REORDER,5585.124024179249
SKU0121,5982.607663998151,5646,554,5428.607663998151,True,False,REORDER,5428.607663998151
SKU0055,5777.569459274,5575,572,5205.569459274,True,False,REORDER,5205.569459274
SKU0001,5653.025741674576,5376,500,5153.025741674576,True,False,REORDER,5153.025741674576
SKU0111,5589.921076821159,5342,494,5095.921076821159,True,False,REORDER,5095.921076821159
SKU0149,5612.86878994314,5416,524,5088.86878994314,True,False,REORDER,5088.86878994314
SKU0094,5566.326069482424,5379,547,5019.326069482424,True,False,REORDER,5019.326069482424
SKU0010,5424.693299127355,5231,487,4937.693299127355,True,False,REORDER,4937.693299127355
SKU0112,5861.81526938935,5720,952,4909.81526938935,True,False,REORDER,4909.81526938935
SKU0190,5137.063378107086,4957,468,4669.063378107086,True,False,REORDER,4669.063378107086
SKU0143,5165.67849335471,5031,508,4657.67849335471,True,False,REORDER,4657.67849335471
SKU0019,5327.868061220174,5156,851,4476.868061220174,True,False,REORDER,4476.868061220174
SKU0183,5339.8068616972805,5076,897,4442.8068616972805,True,False,REORDER,4442.8068616972805
SKU0167,5359.61643567055,5259,938,4421.61643567055,True,False,REORDER,4421.61643567055
SKU0089,5283.537673991426,5064,925,4358.537673991426,True,False,REORDER,4358.537673991426
SKU0013,5171.208994975533,4976,885,4286.208994975533,True,False,REORDER,4286.208994975533
SKU0093,5200.103700859121,5084,922,4278.103700859121,True,False,REORDER,4278.103700859121
SKU0153,5134.80224055871,4916,877,4257.80224055871,True,False,REORDER,4257.80224055871
SKU0163,5095.8766373339995,5090,904,4191.8766373339995,True,False,REORDER,4191.8766373339995
SKU0057,5048.668505835964,4970,857,4191.668505835964,True,False,REORDER,4191.668505835964
SKU0124,4932.661442534323,4738,805,4127.661442534323,True,False,REORDER,4127.661442534323
SKU0058,4948.811335480859,4720,824,4124.811335480859,True,False,REORDER,4124.811335480859
SKU0119,4852.81883436988,4762,817,4035.8188343698803,True,False,REORDER,4035.8188343698803
SKU0127,4803.774383740769,4630,832,3971.774383740769,True,False,REORDER,3971.774383740769
SKU0159,4762.501962735159,4586,814,3948.5019627351594,True,False,REORDER,3948.5019627351594
SKU0083,4667.008394190625,4587,771,3896.008394190625,True,False,REORDER,3896.008394190625
SKU0006,4577.66065190652,4320,761,3816.66065190652,True,False,REORDER,3816.66065190652
SKU0066,4597.044138055,4471,783,3814.044138055,True,False,REORDER,3814.044138055
SKU0199,4597.950132887436,4355,800,3797.9501328874358,True,False,REORDER,3797.9501328874358
SKU0040,4437.423479206419,4334,757,3680.423479206419,True,False,REORDER,3680.423479206419
SKU0130,4262.391383812573,4066,654,3608.3913838125727,True,False,REORDER,3608.3913838125727
SKU0095,4342.835349096929,4191,739,3603.8353490969293,True,False,REORDER,3603.8353490969293
SKU0200,4332.055495498061,4209,729,3603.0554954980607,True,False,REORDER,3603.0554954980607
SKU0074,4397.136304710135,4273,804,3593.136304710135,True,False,REORDER,3593.136304710135
SKU0114,4328.945028363768,4178,737,3591.945028363768,True,False,REORDER,3591.945028363768
SKU0165,4345.63451351369,4219,771,3574.63451351369,True,False,REORDER,3574.63451351369
SKU0090,4245.914225655795,4031,704,3541.9142256557952,True,False,REORDER,3541.9142256557952
SKU0008,4273.4866764529415,4248,748,3525.4866764529415,True,False,REORDER,3525.4866764529415
SKU0015,4293.329112880929,4236,776,3517.3291128809287,True,False,REORDER,3517.3291128809287
SKU0156,4242.172528420952,4190,733,3509.1725284209524,True,False,REORDER,3509.1725284209524
SKU0125,4189.050855791731,4023,680,3509.050855791731,True,False,REORDER,3509.050855791731
SKU0126,4160.805664931547,4027,687,3473.8056649315467,True,False,REORDER,3473.8056649315467
SKU0132,4117.607765044036,3985,655,3462.6077650440357,True,False,REORDER,3462.6077650440357
SKU0187,3976.1964820672356,3849,674,3302.1964820672356,True,False,REORDER,3302.1964820672356
SKU0092,3954.6710517142787,3729,657,3297.6710517142787,True,False,REORDER,3297.6710517142787
SKU0155,3941.5088369957934,3832,648,3293.5088369957934,True,False,REORDER,3293.5088369957934
SKU0021,3890.5918854955617,3698,626,3264.5918854955617,True,False,REORDER,3264.5918854955617
SKU0024,3991.210542163919,3917,737,3254.210542163919,True,False,REORDER,3254.210542163919
SKU0007,3898.5357037051417,3796,655,3243.5357037051417,True,False,REORDER,3243.5357037051417
SKU0180,3915.4292796064738,3774,672,3243.4292796064738,True,False,REORDER,3243.4292796064738
SKU0133,3914.5080083917546,3799,698,3216.5080083917546,True,False,REORDER,3216.5080083917546
SKU0171,3810.645037370713,3614,621,3189.645037370713,True,False,REORDER,3189.645037370713
SKU0136,3869.912888947891,3748,692,3177.912888947891,True,False,REORDER,3177.912888947891
SKU0009,3653.022457760075,3466,627,3026.022457760075,True,False,REORDER,3026.022457760075
SKU0028,3691.4966543146525,3637,667,3024.4966543146525,True,False,REORDER,3024.4966543146525
SKU0079,3613.1102636724,3543,609,3004.1102636724,True,False,REORDER,3004.1102636724
SKU0062,3567.156787994821,3412,590,2977.156787994821,True,False,REORDER,2977.156787994821
SKU0113,3489.234411359105,3366,563,2926.234411359105,True,False,REORDER,2926.234411359105
SKU0078,3438.042299854627,3342,562,2876.042299854627,True,False,REORDER,2876.042299854627
SKU0016,3439.2005755853593,3306,584,2855.2005755853593,True,False,REORDER,2855.2005755853593
SKU0027,3336.151853650719,3210,544,2792.151853650719,True,False,REORDER,2792.151853650719
SKU0117,3351.1064258837305,3178,572,2779.1064258837305,True,False,REORDER,2779.1064258837305
SKU0003,3315.489353912848,3285,553,2762.489353912848,True,False,REORDER,2762.489353912848
SKU0065,3348.907259088381,3160,588,2760.907259088381,True,False,REORDER,2760.907259088381
SKU0185,3280.6203581531204,3163,544,2736.6203581531204,True,False,REORDER,2736.6203581531204
SKU0150,3274.4492213002873,3169,577,2697.4492213002873,True,False,REORDER,2697.4492213002873
SKU0147,3235.292408733472,3137,563,2672.292408733472,True,False,REORDER,2672.292408733472
SKU0020,3163.4205296950495,3076,519,2644.4205296950495,True,False,REORDER,2644.4205296950495
SKU0128,3187.3000352818567,3110,562,2625.3000352818567,True,False,REORDER,2625.3000352818567
SKU0100,3118.1242420260637,3012,550,2568.1242420260637,True,False,REORDER,2568.1242420260637
SKU0042,3046.2461043966555,2965,521,2525.2461043966555,True,False,REORDER,2525.2461043966555
SKU0048,2977.611492346533,2901,473,2504.611492346533,True,False,REORDER,2504.611492346533
SKU0172,3033.2557947293717,2886,529,2504.2557947293717,True,False,REORDER,2504.2557947293717
SKU0082,2985.2090123133607,2828,526,2459.2090123133607,True,False,REORDER,2459.2090123133607
SKU0138,2963.83347414723,2874,505,2458.83347414723,True,False,REORDER,2458.83347414723
SKU0109,2885.675738667856,2891,499,2386.675738667856,True,False,REORDER,2386.675738667856
SKU0162,2877.989534335959,2717,503,2374.989534335959,True,False,REORDER,2374.989534335959
SKU0142,2768.1854229301275,2586,452,2316.1854229301275,True,False,REORDER,2316.1854229301275
SKU0037,2715.5596617301176,2540,438,2277.5596617301176,True,False,REORDER,2277.5596617301176
SKU0197,2730.5823987744425,2652,469,2261.5823987744425,True,False,REORDER,2261.5823987744425
SKU0047,2762.3334732029784,2656,501,2261.3334732029784,True,False,REORDER,2261.3334732029784
SKU0158,2657.4449443356334,2542,456,2201.4449443356334,True,False,REORDER,2201.4449443356334
SKU0084,2591.8725664892836,2510,418,2173.8725664892836,True,False,REORDER,2173.8725664892836
SKU0193,2562.9911238075106,2484,430,2132.9911238075106,True,False,REORDER,2132.9911238075106
SKU0134,2529.2826289973996,2459,431,2098.2826289973996,True,False,REORDER,2098.2826289973996
SKU0096,2462.5627253659495,2313,413,2049.5627253659495,True,False,REORDER,2049.5627253659495
SKU0122,2370.2009293696683,2168,384,1986.2009293696683,True,False,REORDER,1986.2009293696683
SKU0053,2338.272645106236,2206,358,1980.2726451062358,True,False,REORDER,1980.2726451062358
SKU0160,2368.1457320470513,2290,424,1944.1457320470513,True,False,REORDER,1944.1457320470513
SKU0141,2325.1827320654606,2227,397,1928.1827320654606,True,False,REORDER,1928.1827320654606
SKU0032,2295.088126114851,2233,375,1920.088126114851,True,False,REORDER,1920.088126114851
SKU0170,2266.2752352716943,2107,349,1917.2752352716943,True,False,REORDER,1917.2752352716943
SKU0118,2280.566883754451,2208,385,1895.5668837544508,True,False,REORDER,1895.5668837544508
SKU0023,2276.7003040627324,2186,389,1887.7003040627324,True,False,REORDER,1887.7003040627324
SKU0004,2251.584185554543,2150,369,1882.5841855545432,True,False,REORDER,1882.5841855545432
SKU0186,2222.892744217098,2046,345,1877.892744217098,True,False,REORDER,1877.892744217098
SKU0145,2163.815625036905,2020,332,1831.8156250369052,True,False,REORDER,1831.8156250369052
SKU0072,2125.4007949180004,2023,334,1791.4007949180004,True,False,REORDER,1791.4007949180004
SKU0064,2119.655893621549,2071,368,1751.6558936215488,True,False,REORDER,1751.6558936215488
SKU0137,2035.7344341338312,1952,324,1711.7344341338312,True,False,REORDER,1711.7344341338312
SKU0067,2037.4872960004707,1922,340,1697.4872960004707,True,False,REORDER,1697.4872960004707
SKU0056,2028.8102795980412,1983,333,1695.8102795980412,True,False,REORDER,1695.8102795980412
SKU0146,2030.7917085128875,1901,342,1688.7917085128875,True,False,REORDER,1688.7917085128875
